,Molecule ChEMBL ID,Canomial_smiles,pChEMBL Value
96,CHEMBL386515,CN(C)C(C)(C)c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,7.3
97,CHEMBL216874,O=C(NCc1ccc(F)cc1)c1nc(-c2cccs2)nc(O)c1O,8.0
98,CHEMBL217566,O=C(NCc1ccc(F)cc1)c1ncnc(O)c1O,7.22
99,CHEMBL243151,CN1CCN(S(=O)(=O)c2ccccc2)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,8.15
100,CHEMBL4282218,O=c1cc(Sc2ccccc2)[nH]c(=O)n1O,5.96
101,CHEMBL4280139,O=c1cc(Sc2ccc([N+](=O)[O-])cc2)[nH]c(=O)n1O,5.47
102,CHEMBL4288035,O=c1cc(Sc2ccc(O)cc2)[nH]c(=O)n1O,5.8
103,CHEMBL4288722,CCc1ccccc1Sc1cc(=O)n(O)c(=O)[nH]1,6.12
104,CHEMBL4281951,O=c1cc(Sc2ccc(F)cc2)[nH]c(=O)n1O,5.17
105,CHEMBL4277423,O=c1cc(Sc2ccccc2C(F)(F)F)[nH]c(=O)n1O,6.06
106,CHEMBL4291548,O=c1cc(Sc2cccc(C(F)(F)F)c2)[nH]c(=O)n1O,6.06
107,CHEMBL4279266,O=c1cc(Sc2cccc(F)c2)[nH]c(=O)n1O,6.31
108,CHEMBL4292143,Cc1ccc(Sc2cc(=O)n(O)c(=O)[nH]2)cc1,5.55
109,CHEMBL4288444,O=c1cc(Sc2cccc(Br)c2)[nH]c(=O)n1O,5.92
110,CHEMBL4276707,COc1ccc(Sc2cc(=O)n(O)c(=O)[nH]2)cc1,5.44
111,CHEMBL4284247,CCc1ccc(Sc2cc(=O)n(O)c(=O)[nH]2)cc1,5.89
112,CHEMBL4289142,O=c1cc(Sc2ccc(Cl)cc2)[nH]c(=O)n1O,6.19
113,CHEMBL4278477,O=c1cc(Sc2ccccc2F)[nH]c(=O)n1O,6.11
114,CHEMBL4276679,COc1ccc(-c2ccc(Sc3cc(=O)n(O)c(=O)[nH]3)cc2)cc1OC,6.48
115,CHEMBL4292982,O=c1cc(Sc2ccc(-c3ccc(O)cc3)cc2)[nH]c(=O)n1O,6.77
116,CHEMBL4291865,O=c1cc(Sc2cccc(Cl)c2)[nH]c(=O)n1O,6.23
117,CHEMBL4286950,COc1ccccc1Sc1cc(=O)n(O)c(=O)[nH]1,5.08
118,CHEMBL4294846,O=c1cc(Sc2cccc3ccccc23)[nH]c(=O)n1O,6.1
119,CHEMBL4285242,O=c1cc(Sc2cccc(-c3cccc(F)c3)c2)[nH]c(=O)n1O,6.62
120,CHEMBL4277795,O=c1cc(Sc2ccccc2Br)[nH]c(=O)n1O,5.96
121,CHEMBL4284648,COc1cccc(Sc2cc(=O)n(O)c(=O)[nH]2)c1,5.57
122,CHEMBL3582078,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3n2)c2ccccc2c1=O,5.46
123,CHEMBL3582062,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2F)c2ccccc2c1=O,8.0
124,CHEMBL3582073,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccccc2F)c2c(Cl)cccc2c1=O,6.89
125,CHEMBL3582070,O=C(O)/C(O)=C/C(=O)c1cn(Cc2cccc(Cl)c2F)c2ccccc2c1=O,7.75
126,CHEMBL3582038,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccccc2)c2ccccc2c1=O,6.16
127,CHEMBL3582071,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2ccccc2c1=O,6.72
128,CHEMBL3582068,Cc1ccc(Cn2cc(C(=O)/C=C(\O)C(=O)O)c(=O)c3ccccc32)c(C)c1,5.16
129,CHEMBL3582065,O=C(O)/C(O)=C/C(=O)c1cn(Cc2cc(F)cc(F)c2)c2ccccc2c1=O,6.66
130,CHEMBL3582059,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(O)cc2)c2ccccc2c1=O,6.35
131,CHEMBL3582052,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cccc(Cl)c2F)c2ccccc2c1=O,5.97
132,CHEMBL2236601,O=C(O)/C(O)=C/C(=O)c1cn(Cc2c(F)cccc2F)c2ccccc2c1=O,7.72
133,CHEMBL3582051,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cc(C)cc(C)c2)c2ccccc2c1=O,5.89
134,CHEMBL3582045,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cc(F)ccc2F)c2ccccc2c1=O,5.43
135,CHEMBL3582039,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccccc2F)c2ccccc2c1=O,6.55
136,CHEMBL3582069,Cc1cc(C)cc(Cn2cc(C(=O)/C=C(\O)C(=O)O)c(=O)c3ccccc32)c1,7.3
137,CHEMBL3582060,COc1ccc(Cn2cc(C(=O)/C=C(\O)C(=O)O)c(=O)c3ccccc32)cc1,6.29
138,CHEMBL3582082,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3n2)c2ccccc2c1=O,6.4
139,CHEMBL3582046,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(F)c2)c2ccccc2c1=O,5.26
140,CHEMBL3582044,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2F)c2ccccc2c1=O,5.66
141,CHEMBL498713,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(Cl)c(Cl)cc2c1=O,7.48
142,CHEMBL3582075,CCOC(=O)/C(O)=C/C(=O)c1cn(CCCCc2ccccc2)c2ccccc2c1=O,0.0
143,CHEMBL3582041,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(O)cc2)c2ccccc2c1=O,5.85
144,CHEMBL3582072,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2c(Cl)cccc2c1=O,7.02
145,CHEMBL2236602,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cccc(OC)c2)c2ccccc2c1=O,4.8
146,CHEMBL2236598,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cccc(F)c2)c2ccccc2c1=O,5.31
147,CHEMBL3582057,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccccc2F)c2ccccc2c1=O,7.8
148,CHEMBL2236588,COc1ccccc1Cn1cc(C(=O)/C=C(\O)C(=O)O)c(=O)c2ccccc21,7.42
149,CHEMBL2236600,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2c(F)cccc2F)c2ccccc2c1=O,6.6
150,CHEMBL3582054,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2c(Cl)cccc2c1=O,4.6
151,CHEMBL3582053,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(Cl)c2)c2ccccc2c1=O,5.51
152,CHEMBL2236599,O=C(O)/C(O)=C/C(=O)c1cn(Cc2cccc(F)c2)c2ccccc2c1=O,7.82
153,CHEMBL3238130,CC(=O)N1CCN(c2ccc3c(=O)c(C(=O)/C=C(\O)C(=O)O)cn(Cc4ccc(F)cc4)c3c2)CC1,7.1
154,CHEMBL3582081,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccncc2)c2ccccc2c1=O,4.8
155,CHEMBL3582076,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O,4.5
156,CHEMBL3582063,O=C(O)/C(O)=C/C(=O)c1cn(Cc2cc(F)ccc2F)c2ccccc2c1=O,5.5
157,CHEMBL497501,O=C(O)/C(O)=C/C(=O)c1ccc2c(c1)c(=O)c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(F)cc1,7.92
158,CHEMBL3582064,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)c(F)c2)c2ccccc2c1=O,6.96
159,CHEMBL3582077,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccncc2)c2ccccc2c1=O,4.85
160,CHEMBL3582058,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc2c1=O,6.27
161,CHEMBL2236603,COc1cccc(Cn2cc(C(=O)/C=C(\O)C(=O)O)c(=O)c3ccccc32)c1,6.85
162,CHEMBL3582049,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2c(Cl)cccc2Cl)c2ccccc2c1=O,4.5
163,CHEMBL3582061,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc([N+](=O)[O-])cc2)c2ccccc2c1=O,6.19
164,CHEMBL3582066,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(Cl)cc2Cl)c2ccccc2c1=O,5.64
165,CHEMBL2236589,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccccc2OC)c2ccccc2c1=O,5.85
166,CHEMBL3582067,O=C(O)/C(O)=C/C(=O)c1cn(Cc2c(Cl)cccc2Cl)c2ccccc2c1=O,6.57
167,CHEMBL3582056,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccccc2)c2ccccc2c1=O,7.47
168,CHEMBL3582047,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2cc(F)cc(F)c2)c2ccccc2c1=O,4.96
169,CHEMBL3360112,Cn1c(C2COCC2O)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.22
170,CHEMBL3360118,Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2S(C)(=O)=O)c(O)c1=O,8.05
171,CHEMBL3360116,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.3
172,CHEMBL3360122,Cc1ncnn1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOC2)n(C)c(=O)c1O,7.92
173,CHEMBL3360132,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2-n2cncn2)c(O)c1=O,8.22
174,CHEMBL3360133,Cc1ncnn1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOCC2)n(C)c(=O)c1O,8.1
175,CHEMBL3360123,Cc1cnnn1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOC2)n(C)c(=O)c1O,8.0
176,CHEMBL3353126,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1cc(C)cc(C)c1,5.26
177,CHEMBL3360117,Cn1c(C2CCCCO2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.0
178,CHEMBL3352894,Cn1cnnc1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOC2)n(C)c(=O)c1O,7.75
179,CHEMBL3360131,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2N2CCCCS2(=O)=O)c(O)c1=O,7.96
180,CHEMBL3360134,Cc1cnnn1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOCC2)n(C)c(=O)c1O,7.89
181,CHEMBL1223983,COc1ccc2c(c1)C(=O)C(O)=C(C1=C(C3=C(O)C(=O)c4cc(OC)ccc4C3=O)C(=O)c3ccccc3C1=O)C2=O,5.0
182,CHEMBL1223982,COc1cccc2c1C(=O)C(C1=C(C3=C(O)C(=O)c4cccc(OC)c4C3=O)C(=O)c3ccccc3C1=O)=C(O)C2=O,4.89
183,CHEMBL1224083,O=C1C(O)=C(C2=C(C3=C(O)C(=O)c4ccccc4C3=O)C(=O)c3ccccc3C2=O)C(=O)c2ccccc21,4.89
184,CHEMBL3360115,Cn1c(C2(C)CCCS2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.3
185,CHEMBL3360135,Cn1ncnc1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOCC2)n(C)c(=O)c1O,8.05
186,CHEMBL3360114,Cn1c(C2(C)CCCO2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.3
187,CHEMBL259011,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccc(F)cc1,6.85
188,CHEMBL3360120,Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2N2CCCCS2(=O)=O)c(O)c1=O,8.05
189,CHEMBL3360124,Cn1ncnc1-c1cc(F)ccc1CNC(=O)c1nc(C2CCOC2)n(C)c(=O)c1O,8.22
190,CHEMBL3360110,Cn1c(C2=CCOC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,7.72
191,CHEMBL3360127,CN1CCN(c2cc(F)ccc2CNC(=O)c2nc(C3CCOC3)n(C)c(=O)c2O)C1=O,8.22
192,CHEMBL3360113,CSC1COCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,8.52
193,CHEMBL3360119,CN(C)S(=O)(=O)c1cc(F)ccc1CNC(=O)c1nc(C2CCOC2)n(C)c(=O)c1O,8.0
194,CHEMBL3360129,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2S(C)(=O)=O)c(O)c1=O,8.1
195,CHEMBL3360130,CN(C)S(=O)(=O)c1cc(F)ccc1CNC(=O)c1nc(C2CCOCC2)n(C)c(=O)c1O,7.92
196,CHEMBL3360128,COCCN1CCN(c2cc(F)ccc2CNC(=O)c2nc(C3CCOC3)n(C)c(=O)c2O)C1=O,8.52
197,CHEMBL3360121,Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2-n2cncn2)c(O)c1=O,8.4
198,CHEMBL3360111,Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.4
199,CHEMBL3360109,Cn1c(-c2ccco2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,7.68
200,CHEMBL3415853,O=C(O)/C(O)=C/C(=O)c1cc(-c2ccccc2)cn1Cc1ccc(F)cc1,7.72
201,CHEMBL3415855,CCOC(=O)/C(O)=C/C(=O)/C=C/c1cccn1Cc1ccc(F)cc1,4.01
202,CHEMBL3415848,O=C(/C=C(\O)C(=O)O)/C=C/c1cc(C(=O)c2ccc(F)cc2)cn1-c1ccccc1,6.23
203,CHEMBL3415854,O=C(/C=C(\O)c1nc[nH]n1)c1cccn1Cc1ccc(F)cc1,6.96
204,CHEMBL3415839,CCOC(=O)/C(O)=C/C(=O)/C=C/c1ccn(Cc2ccc(F)cc2)c1,4.05
205,CHEMBL3415832,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)cc1-c1ccccc1,6.38
206,CHEMBL3415856,CCOC(=O)/C(O)=C/C(=O)/C=C/c1cccn1Cc1ccc(F)c(F)c1,6.22
207,CHEMBL3415838,CCOC(=O)/C(O)=C/C(=O)/C=C/c1cc(-c2ccccc2)cn1Cc1ccc(F)cc1,5.6
208,CHEMBL3415833,CCOC(=O)/C(O)=C/C(=O)c1ccn(Cc2ccc(F)cc2)c1,5.8
209,CHEMBL3415851,O=C(/C=C(\O)C(=O)O)/C=C/c1ccn(Cc2ccc(F)cc2)c1,4.58
